Latitude,Longitude,NO2,Date,City
22.934875,72.68373,16.719286999999998,10-08-2024 00:00,Ahmedabad
22.975025,72.777596,15.788579,10-08-2024 00:00,Ahmedabad
22.942104,72.572365,13.198918,10-08-2024 00:00,Ahmedabad
22.983019,72.66771,14.25309,10-08-2024 00:00,Ahmedabad
23.023186,72.761604,14.478847,10-08-2024 00:00,Ahmedabad
22.990326,72.55637,11.600367,10-08-2024 00:00,Ahmedabad
23.031256,72.65174,14.699546,10-08-2024 00:00,Ahmedabad
23.071438,72.74566,14.142056,10-08-2024 00:00,Ahmedabad
23.038462,72.54023,11.5802995,10-08-2024 00:00,Ahmedabad
23.07941,72.63563,13.075531,10-08-2024 00:00,Ahmedabad
23.086632,72.524155,13.913416,10-08-2024 00:00,Ahmedabad
22.91494,72.52412,12.758569,11-08-2024 00:00,Ahmedabad
22.917036,72.6439,11.947899,11-08-2024 00:00,Ahmedabad
22.919039,72.76593,10.663087,11-08-2024 00:00,Ahmedabad
22.963741,72.515625,10.921993,11-08-2024 00:00,Ahmedabad
22.965822,72.63545,10.751136,11-08-2024 00:00,Ahmedabad
22.96781,72.75752,11.20172,11-08-2024 00:00,Ahmedabad
23.012543,72.50719,12.160808,11-08-2024 00:00,Ahmedabad
23.014608,72.62706,11.339445,11-08-2024 00:00,Ahmedabad
23.01658,72.74918,13.0644985,11-08-2024 00:00,Ahmedabad
23.063278,72.61842,11.415057,11-08-2024 00:00,Ahmedabad
23.065235,72.740585,12.6699015,11-08-2024 00:00,Ahmedabad
22.92845,72.54725,10.776739,12-08-2024 00:00,Ahmedabad
22.93302,72.6054,10.723863,12-08-2024 00:00,Ahmedabad
22.937567,72.664055,9.123196,12-08-2024 00:00,Ahmedabad
22.942091,72.72321,8.492235,12-08-2024 00:00,Ahmedabad
22.94659,72.7829,8.453949,12-08-2024 00:00,Ahmedabad
22.977585,72.53697,9.09777,12-08-2024 00:00,Ahmedabad
22.982153,72.595146,9.808947,12-08-2024 00:00,Ahmedabad
22.986696,72.653824,8.211465,12-08-2024 00:00,Ahmedabad
22.991217,72.71301,8.736499,12-08-2024 00:00,Ahmedabad
22.995714,72.77271,8.6306445,12-08-2024 00:00,Ahmedabad
23.026752,72.52674,12.222473,12-08-2024 00:00,Ahmedabad
23.031317,72.58494,10.90019,12-08-2024 00:00,Ahmedabad
23.035856,72.64363,11.04046,12-08-2024 00:00,Ahmedabad
